Community Area Number,COMMUNITY AREA NAME,PERCENT HOUSEHOLDS BELOW POVERTY
1,Rogers Park,23.6
2,West Ridge,17.2
3,Uptown,24
4,Lincoln Square,10.9
5,North Center,7.5
6,Lake View,11.4
7,Lincoln Park,12.3
8,Near North Side,12.9
9,Edison Park,3.3
10,Norwood Park,5.4
11,Jefferson Park,8.6
12,Forest Glen,7.5
13,North Park,13.2
14,Albany Park,19.2
15,Portage Park,11.6
16,Irving Park,13.1
17,Dunning,10.6
18,Montclaire,15.3
19,Belmont Cragin,18.7
20,Hermosa,20.5
21,Avondale,15.3
22,Logan Square,16.8
23,Humboldt park,33.9
24,West Town,14.7
25,Austin,28.6
26,West Garfield Park,41.7
27,East Garfield Park,42.4
28,Near West Side,20.6
29,North Lawndale,43.1
30,South Lawndale,30.7
31,Lower West Side,25.8
32,Loop,14.7
33,Near South Side,13.8
34,Armour Square,40.1
35,Douglas,29.6
36,Oakland,39.7
37,Fuller Park,51.2
38,Grand Boulevard,29.3
39,Kenwood,21.7
40,Washington Park,42.1
41,Hyde Park,18.4
42,Woodlawn,30.7
43,South Shore,31.1
44,Chatham,27.8
45,Avalon Park,17.2
46,South Chicago,29.8
47,Burnside,33
48,Calumet Heights,11.5
49,Roseland,19.8
50,Pullman,21.6
51,South Deering,29.2
52,East Side,19.2
53,West Pullman,25.9
54,Riverdale,56.5
55,Hegewisch,17.1
56,Garfield Ridge,8.8
57,Archer Heights,14.1
58,Brighton Park,23.6
59,McKinley Park,18.7
60,Bridgeport,18.9
61,New City,29
62,West Elsdon,15.6
63,Gage Park,23.4
64,Clearing,8.9
65,West Lawn,14.9
66,Chicago Lawn,27.9
67,West Englewood,34.4
68,Englewood,46.6
69,Greater Grand Crossing,29.6
70,Ashburn,10.4
71,Auburn Gresham,27.6
72,Beverly,5.1
73,Washington Height,16.9
74,Mount Greenwood,3.4
75,Morgan Park,13.2
76,O'Hare,15.4
77,Edgewater,18.2
,CHICAGO,19.7