GEO_ID,NAME,B01001I_001E
,,
55105,"Rock County, Wisconsin",13782
55137,"Waushara County, Wisconsin",1524
55001,"Adams County, Wisconsin",781
55007,"Bayfield County, Wisconsin",279
55065,"Lafayette County, Wisconsin",625
55081,"Monroe County, Wisconsin",1983
55093,"Pierce County, Wisconsin",826
55141,"Wood County, Wisconsin",2122
55003,"Ashland County, Wisconsin",438
55015,"Calumet County, Wisconsin",2069
55037,"Florence County, Wisconsin",61
55019,"Clark County, Wisconsin",1530
55055,"Jefferson County, Wisconsin",5924
55059,"Kenosha County, Wisconsin",21745
55051,"Iron County, Wisconsin",73
55109,"St. Croix County, Wisconsin",2023
55083,"Oconto County, Wisconsin",650
55069,"Lincoln County, Wisconsin",421
55135,"Waupaca County, Wisconsin",1572
55005,"Barron County, Wisconsin",1111
55113,"Sawyer County, Wisconsin",427
55047,"Green Lake County, Wisconsin",898
55077,"Marquette County, Wisconsin",495
55075,"Marinette County, Wisconsin",669
55101,"Racine County, Wisconsin",25142
55139,"Winnebago County, Wisconsin",6789
55041,"Forest County, Wisconsin",208
55043,"Grant County, Wisconsin",831
55107,"Rusk County, Wisconsin",259
55117,"Sheboygan County, Wisconsin",7168
55067,"Langlade County, Wisconsin",368
55087,"Outagamie County, Wisconsin",7789
55123,"Vernon County, Wisconsin",476
55021,"Columbia County, Wisconsin",1837
55061,"Kewaunee County, Wisconsin",572
55009,"Brown County, Wisconsin",21835
55073,"Marathon County, Wisconsin",3636
55085,"Oneida County, Wisconsin",517
55121,"Trempealeau County, Wisconsin",2340
55129,"Washburn County, Wisconsin",279
55027,"Dodge County, Wisconsin",4106
55127,"Walworth County, Wisconsin",11372
55023,"Crawford County, Wisconsin",230
55071,"Manitowoc County, Wisconsin",3044
55111,"Sauk County, Wisconsin",3128
55013,"Burnett County, Wisconsin",270
55017,"Chippewa County, Wisconsin",1094
55029,"Door County, Wisconsin",819
55031,"Douglas County, Wisconsin",671
55053,"Jackson County, Wisconsin",671
55049,"Iowa County, Wisconsin",411
55089,"Ozaukee County, Wisconsin",2526
55103,"Richland County, Wisconsin",393
55119,"Taylor County, Wisconsin",404
55099,"Price County, Wisconsin",239
55079,"Milwaukee County, Wisconsin",140575
55033,"Dunn County, Wisconsin",817
55045,"Green County, Wisconsin",1110
55115,"Shawano County, Wisconsin",1119
55078,"Menominee County, Wisconsin",258
55011,"Buffalo County, Wisconsin",273
55063,"La Crosse County, Wisconsin",2182
55035,"Eau Claire County, Wisconsin",2448
55095,"Polk County, Wisconsin",818
55133,"Waukesha County, Wisconsin",18469
55125,"Vilas County, Wisconsin",534
55057,"Juneau County, Wisconsin",788
55131,"Washington County, Wisconsin",4181
55025,"Dane County, Wisconsin",33285
55039,"Fond du Lac County, Wisconsin",5125
55091,"Pepin County, Wisconsin",121
55097,"Portage County, Wisconsin",2224